Column1,sentence,label,filename
319,"troškovi krivi?nog postupka, padaju na teret budžetskih sredstava ovog suda na osnovu ?l 203 st.1 zkp-a.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
320,ošte?ena fabrika „n.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
321,"b.“ doo, iz b., pravni sledbenik fabrike „b.“ b., radi ostvarivanja imovinskog pravnog zahtjeva za naknadu štete, upu?uje se na parnicu, na osnovu ?l 212 st.3 zkp-a.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
322,"o b r a z l o ž e nj e osnovno državno tužilaštvo u beranama, podnijelo je optužnicu ktbr 466/10 od 18.02.2011. godine, protiv optuženih a. š. , iz k., kosovo i b. h. , iz p., k., zbog produženog krivi?nog djela teška kra?a u pokušaju iz ?l 240 st. 1 ta? 1 krivi?nog zakonika, u vezi sa ?l 20 i ?l49 krivi?nog zakonika.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
323,"odt u beranama gorica golubovi?, u završnoj rije?i, odustala je od daljeg krivi?nog gonjenja protiv optuženih a. š. i b. h., jer dokazima izvedenim na pretresima nije utvr?ena krivica optuženih.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
324,"ovlaš?eni predstavnik ošte?ene fabrike „k.“, doo b., nije pristupio na glavni pretres zakazan za 29.06.2011. godine, iako je uredno pozvan i upozoren na posledice nedolaska, te obzirom da je odt berane odustao od krivi?nog gonjenja optuženih, smatra se da ošte?eni nije voljan da produži gonjenje u smislu ?l 293 st. 4 zkp-a.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
325,ovlaš?eni predstavnik ošte?ene fabrike papira „n.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
326,"b.“, doo, pravnog sledbenika doo „b.“, m. b., u završnoj rije?i, nakon odustanka odt-a od krivi?nog gonjenja optuženih, istakao je da preuzima krivi?no gonjenje i zadržava pravo da imovinsko pravni zahtjev za naknadu štete ostvari u parni?nom postupku.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
327,"optuženi a. š. , u svojoj odbrani, datoj tokom postupka, negirao je izvršenje krivi?nog djela i krivicu i istakao da je bio u potpuno pijanom stanju, sje?a se samo da je prolazio nekim putem i da su ušli u fabriku papira b., a nije mogao da se sjeti kako su ušli u fabriku.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
328,nijesu imali nikakvu alatku u rukama.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
329,ni on ni optuženi b. h. nijesu rezali nikakav katanac i on je spavao kada je došla policija.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
330,ništa nijesu uzeli iz fabrike.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
331,"kad je došla policija mislio je da je ku?i, a te ve?eri nije primijetio radnika obezbe?enja.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
332,"na pretresu je dodao da nijesu imali bonsek i da nijesu rezali katanac, niti su razbijali vrata.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
333,ne zna ta?no gdje je na?en bonsek.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
334,"njima je re?eno da li je to njihov bonsek, a oni su kazali da nije.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
335,u završnoj rije?i je istakao da nije kriv i da nije izvršio krivi?no djelo za koje ga tereti ponomo?nik ošte?ene fabrike papira „n.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
336,b.“ doo.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
337,"optuženi b. h. u svojoj odbrani, datoj tokom postupka, negirao je izvršenje krivi?nog djela i krivicu.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
338,"istakao je da je predmetnog dana šetao sa optuženim a. š. i ušli su u krug fabrike „b.“, kada je stražar pozvao policiju.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
339,"iz fabrike nijesu ništa oduzeli, nijesu odvaljivali, niti pravili bilo kakav otvor na prozoru, niti su bonsekom rezali katanac.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
340,"odmah nakon što su ušli u krug fabrike, stražar ih je primijetio.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
341,"na pretresu je dodao da su toga dana bili pijani, a u upravi policije nijesu alkotestirani.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
342,b. koji su im oduzeli nije bio njihov i isti nijesu koristili.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
343,"u krug fabrike su došli, jer su bili pijani i ?im su tamo ušli, stražar je zvao policiju.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
344,"nije mu poznato ko je polomio vrata pomo?nog objekta fabrike „k.“, niti ko je rezao katanac na pomo?nim objektima fabrike „b.“.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
345,u završnoj rije?i je istakao da nije i kriv i da nije izvršio krivi?no djelo za koje ga tereti ponomo?nik ošte?ene fabrike papira „n.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
346,b.“ doo.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
347,"radi pravilnog i zakonitog presudjenja, ove krivi?no pravne stvari, sud je na glavnom pretresu, u dokaznom postupku, izveo slede?e dokaze: saslušao svjedoke n. s. i m. d., pro?itao iskaze ovlaš?enog predstavnika ošte?ene fabrike „b.“ r. g. i svjedoka n. a., r. m., ž. v., m. š. i v. b., potvrdu o privremeno oduzetim predmetima up pj berane br … od 07.12.2010. godine, izvršio uvid u fotodokumentaciju up pj b. br … od 07.12.2010. godine i izvod iz ke za optužene.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
348,"nakon sprovedenog dokaznog postupka, cijene?i navode optužbe, odbrane optuženih, te izvedene pobrojane dokaze, u smislu ?lana 17 i 360 zkp-a, a dovode?i ih u vezu jedne sa drugim, sud je stao na stanovište, da ?injenice, iz ?injeni?nog opisa izreke presude po stavom ii nijesu dokazane, pa je optužene a. š. i b. h., zbog krivi?nog djela teška kra?a u pokušaju iz ?l 240 st. 1 ta? 1 kz u vezi sa ?l 20 kz-a, oslobodio od optužbe, na osnovu ?l 363 ta? 3 zkp-a.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
349,"pri tome, sud je prihvatio odbrane optuženih, obzirom da izvedenim dokazima nije utvr?eno da su dva lica koja je svjedok r. m. primijetio u objektu fabrike „b.“, upravo optuženi.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
350,"isti je ?ak naveo da optuženi ne li?e na ta lica, koja su iz fabrike pobjegla tr?e?im korakom, a na osnovu iskaza svjedoka n. s., m. d., ž. v., v. b. i m. š., utvr?eno je da su optuženi bili u pijanom stanju i da optuženi a. š., ?ak nije mogao ni da hoda.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
351,"kako nije dokazano da su optuženi a. š. i b. h., zajedno obili pomo?ni objekat fabrike ""b.“, u namjeri pribavljanja protiv pravne imovinske koristi, to ih je oslobodio od optužbe.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
352,ovlaš?eni predstavnik ošte?ene f. p. „n.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
353,"b.“, pravnog sledbenika fabrike „b.“, vlasnik r. g. , u svojoj izjavi datoj tokom postupka je istakao, da mu nijesu poznate neposredne ?injenice u vezi krivi?nog djela, koje se stavljaju na treret optuženima, jer iste ne poznaje i nije bio prisutan predmetnog dana, a sjutradan je saznao da je pokušana kra?a.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
354,"prije izvjesnog vremena iz kruga fabrike su nestale izvjesne koli?ine kablova i bakarnih šina, a on nema saznanja ko je izvršilac te kra?e, te da li se radi o optuženima.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
355,nije mogao da se izjasni da li je predmetne ve?eri nešto otu?eno iz fabrike i u kojim koli?inama.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
356,"sud je prihvatio iskaz ovlaš?enog predstavnika ošte?ene, koji me?utim o predmetnom doga?aju nije mogao da se izjasni.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
357,"svjedok r. m. , u svojoj izjavi datoj tokom postupka je istakao da je radnik obezbje?enja opštine berane, koji radi na obezbje?enju fabrike, ?ija je polovina pripala opštini, a druga polovina je „b.“, vlasništvo r. g. i da je predmetne ve?eri prilikom obilaska pogona, ?uo sa udaljenosti od 50 metara, da neko kucanjem pokušava da odvali metalne djelove ograde od pogona papira.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
358,"sa udaljenosti od 10 metara pozvao je policiju, koji su nakon 20 minuta došli.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
359,"u me?uvremenu, nejasno je vidio siluete dva lica, a nakon toga još jednog lica.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
360,"nije prepoznao lica koja su pokušalavala da u?u u pogon, a po odje?i i po pokretima, zaklju?io je da se radi o licima romske nacionalnosti.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
361,optužene š. i h. ne poznaje i nikada ih nije vidio i ne može sa sigurnoš?u da tvrdi da su oni te ve?eri pokušali da vrše obijanje.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
362,"vidio je da su na nekom otvoru gdje se nalaze metalne šipke pokušali ulazak u fabriku, gdje postoje mnoge vrijedne stvari.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
363,"na pretresu je dodao, da nakon što su ova dva lica iz kruga njegove fabrike pobjegli u pravcu fabrike „k.“, tr?e?im korakom, pošao je za njima, ali nije mogao da ih stigne i nije mu poznato, da li su bili u alkoholisanom stanju, a kako su bježali, misli da nijesu.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
364,"obzirom da je na pretresu vidio optužene nije mogao da kaže da su to ta lica, jedno lice je bilo visoko i mršavo, dok je optuženi h. nešto krupniji od tog lica, tako?e ni optuženi š. ne li?i na drugo lice.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
365,"?uo je kako su po?inioci lupali štemajzima i lomili gvož?e, a dok su bježali sa lica mjesta u rukama nijesu imali ništa.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
366,"svjedok n. a., u svojoj izjavi datoj tokom postupka je istakao da radi kao radnik obezbe?enja u fabrici „n.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
367,"b.“, a predmetnog dana je dobio informaciju od kolega koji su angažovani kao ?uvari dijela fabrike koja pripada opštini, da se neko od nepoznatih lica kre?e u krugu fabrike, a obzirom da je bio mrak, neosvijetljen teren, pozvao je svoje kolege da sa njima vidi o ?emu se radi.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
368,"obišli su teren i došli na lice mjesta, gdje su videli da je prozor koji je bio zašti?en metalnom rešetkom provaljen, na na?in što je metalna rešetka sklonjena sa istog.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
369,nije vidio nikog da se kre?e u krugu fabrike.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
370,nije mu poznato da li je išta nestalo iz objekta.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
371,"pripadnici uprave policije su vrše?i potragu za potencijalnim provalnicima, dovezli kod njih u krug fabrike dva njemu nepoznata lica sa bonsekom, koja nije vidio, jer su bila u autu, a koja su pronašli u blizini fabrike „b.“, a u krugu „k.“.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
372,"sud je prihvatio iskaze prednjih svjedoka, ali na osnovu istih nije mogao zaklju?iti da su optuženi izvršili krivi?no djelo bliže opisano pod stavom ii izreke presude, posebno vode?i ra?una da je svjedok r. m. istakao, da optuženi ne li?e na lica koja su te ve?eri pobjegla sa lica mjesta, te da su ova lica pobjegla tr?e?im korakom i on nije mogao da ih stigne, a na osnovu iskaza policajaca up pj berane je utvr?eno da su optuženi bili u alkoholisanom stanju, te da optuženi a. š. ?ak nije mogao ni da hoda, a ne da tr?i.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
373,"tako je svjedok n. s., u izjavi datoj na glavnom pretresu istakao, da je predmetne ve?eri, kao radnik up pj b., kada je primio smjenu imao poziv iz fabrike “k.“ i obaviješteni su da je jedno lice zate?eno u ovoj fabrici.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
374,"izašli su na lice mjesta i zatekli optuženog š., kako leži izme?u mašina, bio je u pripitom stanju i pored njega se nalazio bonsek.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
375,predpostavili su da je pao sa mašina koje su bile visoke.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
376,"nakon nekog vremena u fabrici na mašinama našli su drugo lice, optuženog h., koji se gore krio.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
377,isti kod sebe nije imao ništa.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
378,"optuženi š. je bio u vidno alkoholisanom stanju, nije mogao da ustane i morali su da ga izvuku sa mjesta, gdje se nalazio, a to je bilo izme?u mašina, jer nije mogao da hoda, zbog alkoholisanosti, a optuženi h. nije bio u alkoholisanom stanju, ve? se krio.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
379,"u objekat „k.“ optuženi su ušli kroz vrata koja su ina?e otvorena, a morali su predhodno da presko?e ogradu.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
380,"svjedok m. d., radnik up pj b., u izjavi datoj na glavnom pretresu je istakao, da je predmetne ve?eri sa kolegom po obavješenju iz dežurne službe izašao na lice mjesta u krug fabrike “k.“ i u jednom od objekata se nalazio šef obezbe?enja „k.“ ž. v., gdje su zatekli optuženog š. kako leži pored jedne od mašina i pored njega se nalazio bonsek.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
381,"nijesu znali da li je u nesvjesnom stanju i da li je živ, pa su ga malo promrdali i on je po?eo da se osvješ?uje.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
382,bio je u alkoholisanom stanju.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
383,"malo su pretraživali sijalicama i na mašinama zatekli optuženog h.. objekat gdje su pronašli optužene je poluotvoren, nedostaju prozori i neka vrata.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
384,"šef obezbe?enja v. im nije pokazao da su neka vrata nasilno obijena, da bi se ušlo u objekat.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
385,"nakon toga su otišli do fabrike b., tamo su pretraživali, ali zbog velikog prostora nijesu mogli nikog na?i.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
386,od strane stražara m. nije im pokazano gdje je konkretno izvršeno obijanje.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
387,"svjedok ž. v., u svojoj izjavi datoj tokom postupka je istakao je predmetnog dana nakon što su izvršili obilazak f. k., u pomo?noj zgradi u blizini magacina, gdje se nalaze stare mašine bivše fabrike p., on i stražar ?uli neku lupnjavu, ušli su u objekat i na jednoj strani mašine zatekli optuženog a. š., koga nije poznavao.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
388,"u istoj prostoriji su ?uli lupnjavu i zaklju?ili da se nalazi još neko lice i pozvali su policiju, koja je ubrzo došla i pronašli su optuženog b. h.. pored optuženog a. š. pronašli su bonsek za rezanje metala.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
389,"smatra da on bio u pijanom stanju, jer je bio gotovo nesvjestan, kada su ga pronašli.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
390,"na pretresu je dodao da objekat u kojem su pronašli optužene je objekat bez vrata, gdje se nalaze stare mašine.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
391,"obzirom da je ova lica zatekao u njihovom objektu, ne zna da li su to ista lica zbog kojih je policija izašla kod fabrike b. radi vršenja uvi?aja.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
392,"štete za fabriku k. nije bilo, obzirom da ova lica nijesu ništa odnijela.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
393,"sud je prihvatio iskaze prednjih svjedoka, na osnovu kojih je utvr?eno da su u jednom od objekata fabrike “k.“, zate?eni optuženi a. š. kako leži pored jedne od mašina, koji je bio u vidno alkoholisanom stanju i nije mogao da hoda, a pored njega se nalazio bonsek, a na mašinama optuženi b. h.. na osnovu prednjeg, sud nije mogao da zaklju?i da su ova lica predhodno bila u fabrici „b.“, odakle su pobjegli tr?e?im korakom, kako je to opisao svjedok r. m.. svjedok v. b. , radnik up pj b., u izjavi datoj tokom postupka je istakao, da predmetnog dana, postupaju?i po naredbi dežurnog starješine, nakon obilaska kruga fabrike „b.“, a zatekli su radnika obezbe?enja r. m., koji je u rukama držao sjekiru.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
394,"u krugu fabrike „k.“, u prisustvu policajaca m. d. i n. s., zatekli su dva lica romske nacionalnosti, koja su lišena slobode, a tu je bio i prisutan radnik obezbe?enja k. ž. v.. na pretresu je dodao da je kod ova dva lica prona?en bonsek i optuženi b. h. je bio u vidno alkoholisanom stanju, a za optuženog š. nije primijetio.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
395,"u krugu fabrike b., radnik obezbe?enja im je pokazao vrata i kazao da se tu nalazio katanac koga sada nema.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
396,"ta vrata su velika, visoka preko 3 metra otprilike i ista nijesu mogla da se otvore, a iz kojeg razloga, da li su bila zaklju?ana na neki drugi na?in, nije mu poznato.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
397,"tom prilikom im je radnik m., pokazao prozore, za koje je kazao da sumnja da je tuda neko pokušao da u?e u objekat.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
398,"svjedok m. š., tako?e radnik up pj b., u izjavi datoj tokom postupka je istakao da je predmetnog dana sa kolegom v. b., postupaju?i po prijavi da se u krugu fabrike c. papira b. dešava kra?a, pošao na lice mjesta, obišli krug fabrike i nijesu zatekli izvršioce djela.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
399,"nakon toga su pošli u krug fabrike k., gdje su zatekli šefa obezbe?enja ž. v. i dvojicu kolega iz saobra?ajne policije, kao i dva lica romske nacionalnosti, za koje su utvrdili da se radi o a. š. i b. h., a po njegovom zaklju?ku, oba ova lica su se nalazila u pijanom stanju.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
400,pored ovih lica su pronašli bonsek za rezanje metala.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
401,istakao je da ne zna nikakve pojedinosti u vezi pokušaja kra?e u krugu fabrike „b.“.,0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
402,"sud je prihvatio iskaze prednjih svjedoka, na osnovu kojih je utvr?eno da su optuženi na?eni u objektu „k.“ u alkoholisanom stanju, te da osnovu toga sud nije mogao zaklju?iti da su to lica koja su predhodno pokušala da obiju pomo?ni objekat fabrike „b.“.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
403,"iz potvrde o privremeno oduzetim predmetima up pj b. br … od 07.12.2010. godine utvr?eno je da je od optuženog a. š. oduzet metalni bonsek sa plavom drškom dužine 0,40 cm.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
404,iz fotodokumentaciju up pj b. br … od 07.12.2010.godine utvr?eno je sa objektu fabrike b. skinuta metalna rešetka i napravljen otvor.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
405,"sud je prihvatio prednje dokaze, koji su sa?injeni od strane ovlaš?enih lica i snadbjeveni pe?atom i podpisom.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
406,"na osnovu ovako utvr?enog ?injeni?nog stanja, sud nije mogao izvesti zaklju?ak, da je dokazano da su optuženi a. š. i b. h., izvršili krivi?no djela teška kra?u u pokušaju iz ?l 240 st. 1 ta? 1 krivi?nog zakonika, u vezi sa ?l 20 kz, na štetu ošte?ene fabrike b., koje im je optužnicom stavljeno na teret.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
407,"naime, odt berane je u završnoj rije?i odustao od krivi?nog gonjenja protiv optuženih, ali je ovlaš?eni predstavnik ošte?ene fabrike „n.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
408,"b.“ m. b., u završnoj rije?i preuzeo krivi?no gonjenje.",0,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
409,"tako je na osnovu iskaza svjedoka r. m., utvr?eno da je ?uo kucanje u fabrici „b.“ i da neko pokušava da odvali metalne djelove ograde, nejasno je vidio situete dva lica.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
410,"ova lica su iz kruga njegove fabrike pobjegli u pravcu fabrike „k.“ tr?e?im korakom, tr?ao je sa njima, ali nije mogao da ih stigne.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
411,na pretresu je istakao da optuženi ne li?e na ta lica.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
412,"tako?e je na osnovu iskaza svjedoka n. a. utvr?eno, da je dobio informaciju da se neko od nepoznatih lica kretalo u krugu fabrike, obišli su teren i došli do mjesta gdje su videli da je prozor, koji je bio zašti?en metalnom rešetkom provaljen, na na?in što je metalna rešetka sklonjena sa istog.",1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
413,nije vidio nikog da se kre?e u krugu fabrike i nije mu poznato da li je išta nestalo iz objekta.,1,data\K - PRVOSTEPENI KRIVI?NI PREDMETI\presuda_text_10152.txt
