,sentence,label,filename
323,"odt u beranama gorica golubović, u završnoj riječi, odustala je od daljeg krivičnog gonjenja protiv optuženih a. š. i b. h., jer dokazima izvedenim na pretresima nije utvrđena krivica optuženih.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
324,"ovlašćeni predstavnik oštećene fabrike „k.“, doo b., nije pristupio na glavni pretres zakazan za 29.06.2011. godine, iako je uredno pozvan i upozoren na posledice nedolaska, te obzirom da je odt berane odustao od krivičnog gonjenja optuženih, smatra se da oštećeni nije voljan da produži gonjenje u smislu čl 293 st. 4 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
325,ovlašćeni predstavnik oštećene fabrike papira „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
326,"b.“, doo, pravnog sledbenika doo „b.“, m. b., u završnoj riječi, nakon odustanka odt-a od krivičnog gonjenja optuženih, istakao je da preuzima krivično gonjenje i zadržava pravo da imovinsko pravni zahtjev za naknadu štete ostvari u parničnom postupku.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
327,"optuženi a. š. , u svojoj odbrani, datoj tokom postupka, negirao je izvršenje krivičnog djela i krivicu i istakao da je bio u potpuno pijanom stanju, sjeća se samo da je prolazio nekim putem i da su ušli u fabriku papira b., a nije mogao da se sjeti kako su ušli u fabriku.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
328,nijesu imali nikakvu alatku u rukama.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
329,ni on ni optuženi b. h. nijesu rezali nikakav katanac i on je spavao kada je došla policija.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
330,ništa nijesu uzeli iz fabrike.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
331,"kad je došla policija mislio je da je kući, a te večeri nije primijetio radnika obezbeđenja.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
332,"na pretresu je dodao da nijesu imali bonsek i da nijesu rezali katanac, niti su razbijali vrata.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
333,ne zna tačno gdje je nađen bonsek.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
334,"njima je rečeno da li je to njihov bonsek, a oni su kazali da nije.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
335,u završnoj riječi je istakao da nije kriv i da nije izvršio krivično djelo za koje ga tereti ponomoćnik oštećene fabrike papira „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
336,b.“ doo.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
337,"optuženi b. h. u svojoj odbrani, datoj tokom postupka, negirao je izvršenje krivičnog djela i krivicu.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
338,"istakao je da je predmetnog dana šetao sa optuženim a. š. i ušli su u krug fabrike „b.“, kada je stražar pozvao policiju.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
339,"iz fabrike nijesu ništa oduzeli, nijesu odvaljivali, niti pravili bilo kakav otvor na prozoru, niti su bonsekom rezali katanac.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
340,"odmah nakon što su ušli u krug fabrike, stražar ih je primijetio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
341,"na pretresu je dodao da su toga dana bili pijani, a u upravi policije nijesu alkotestirani.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
342,b. koji su im oduzeli nije bio njihov i isti nijesu koristili.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
343,"u krug fabrike su došli, jer su bili pijani i čim su tamo ušli, stražar je zvao policiju.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
344,"nije mu poznato ko je polomio vrata pomoćnog objekta fabrike „k.“, niti ko je rezao katanac na pomoćnim objektima fabrike „b.“.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
345,u završnoj riječi je istakao da nije i kriv i da nije izvršio krivično djelo za koje ga tereti ponomoćnik oštećene fabrike papira „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
346,b.“ doo.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
347,"radi pravilnog i zakonitog presudjenja, ove krivično pravne stvari, sud je na glavnom pretresu, u dokaznom postupku, izveo sledeće dokaze: saslušao svjedoke n. s. i m. d., pročitao iskaze ovlašćenog predstavnika oštećene fabrike „b.“ r. g. i svjedoka n. a., r. m., ž. v., m. š. i v. b., potvrdu o privremeno oduzetim predmetima up pj berane br … od 07.12.2010. godine, izvršio uvid u fotodokumentaciju up pj b. br … od 07.12.2010. godine i izvod iz ke za optužene.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
348,"nakon sprovedenog dokaznog postupka, cijeneći navode optužbe, odbrane optuženih, te izvedene pobrojane dokaze, u smislu člana 17 i 360 zkp-a, a dovodeći ih u vezu jedne sa drugim, sud je stao na stanovište, da činjenice, iz činjeničnog opisa izreke presude po stavom ii nijesu dokazane, pa je optužene a. š. i b. h., zbog krivičnog djela teška krađa u pokušaju iz čl 240 st. 1 tač 1 kz u vezi sa čl 20 kz-a, oslobodio od optužbe, na osnovu čl 363 tač 3 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
349,"pri tome, sud je prihvatio odbrane optuženih, obzirom da izvedenim dokazima nije utvrđeno da su dva lica koja je svjedok r. m. primijetio u objektu fabrike „b.“, upravo optuženi.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
350,"isti je čak naveo da optuženi ne liče na ta lica, koja su iz fabrike pobjegla trčećim korakom, a na osnovu iskaza svjedoka n. s., m. d., ž. v., v. b. i m. š., utvrđeno je da su optuženi bili u pijanom stanju i da optuženi a. š., čak nije mogao ni da hoda.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
351,"kako nije dokazano da su optuženi a. š. i b. h., zajedno obili pomoćni objekat fabrike ""b.“, u namjeri pribavljanja protiv pravne imovinske koristi, to ih je oslobodio od optužbe.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
352,ovlašćeni predstavnik oštećene f. p. „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
353,"b.“, pravnog sledbenika fabrike „b.“, vlasnik r. g. , u svojoj izjavi datoj tokom postupka je istakao, da mu nijesu poznate neposredne činjenice u vezi krivičnog djela, koje se stavljaju na treret optuženima, jer iste ne poznaje i nije bio prisutan predmetnog dana, a sjutradan je saznao da je pokušana krađa.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
354,"prije izvjesnog vremena iz kruga fabrike su nestale izvjesne količine kablova i bakarnih šina, a on nema saznanja ko je izvršilac te krađe, te da li se radi o optuženima.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
355,nije mogao da se izjasni da li je predmetne večeri nešto otuđeno iz fabrike i u kojim količinama.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
356,"sud je prihvatio iskaz ovlašćenog predstavnika oštećene, koji međutim o predmetnom događaju nije mogao da se izjasni.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
357,"svjedok r. m. , u svojoj izjavi datoj tokom postupka je istakao da je radnik obezbjeđenja opštine berane, koji radi na obezbjeđenju fabrike, čija je polovina pripala opštini, a druga polovina je „b.“, vlasništvo r. g. i da je predmetne večeri prilikom obilaska pogona, čuo sa udaljenosti od 50 metara, da neko kucanjem pokušava da odvali metalne djelove ograde od pogona papira.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
358,"sa udaljenosti od 10 metara pozvao je policiju, koji su nakon 20 minuta došli.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
359,"u međuvremenu, nejasno je vidio siluete dva lica, a nakon toga još jednog lica.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
360,"nije prepoznao lica koja su pokušalavala da uđu u pogon, a po odjeći i po pokretima, zaključio je da se radi o licima romske nacionalnosti.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
361,optužene š. i h. ne poznaje i nikada ih nije vidio i ne može sa sigurnošću da tvrdi da su oni te večeri pokušali da vrše obijanje.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
362,"vidio je da su na nekom otvoru gdje se nalaze metalne šipke pokušali ulazak u fabriku, gdje postoje mnoge vrijedne stvari.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
363,"na pretresu je dodao, da nakon što su ova dva lica iz kruga njegove fabrike pobjegli u pravcu fabrike „k.“, trčećim korakom, pošao je za njima, ali nije mogao da ih stigne i nije mu poznato, da li su bili u alkoholisanom stanju, a kako su bježali, misli da nijesu.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
364,"obzirom da je na pretresu vidio optužene nije mogao da kaže da su to ta lica, jedno lice je bilo visoko i mršavo, dok je optuženi h. nešto krupniji od tog lica, takođe ni optuženi š. ne liči na drugo lice.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
365,"čuo je kako su počinioci lupali štemajzima i lomili gvožđe, a dok su bježali sa lica mjesta u rukama nijesu imali ništa.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
366,"svjedok n. a., u svojoj izjavi datoj tokom postupka je istakao da radi kao radnik obezbeđenja u fabrici „n.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
367,"b.“, a predmetnog dana je dobio informaciju od kolega koji su angažovani kao čuvari dijela fabrike koja pripada opštini, da se neko od nepoznatih lica kreće u krugu fabrike, a obzirom da je bio mrak, neosvijetljen teren, pozvao je svoje kolege da sa njima vidi o čemu se radi.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
368,"obišli su teren i došli na lice mjesta, gdje su videli da je prozor koji je bio zaštićen metalnom rešetkom provaljen, na način što je metalna rešetka sklonjena sa istog.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
369,nije vidio nikog da se kreće u krugu fabrike.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
370,nije mu poznato da li je išta nestalo iz objekta.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
371,"pripadnici uprave policije su vršeći potragu za potencijalnim provalnicima, dovezli kod njih u krug fabrike dva njemu nepoznata lica sa bonsekom, koja nije vidio, jer su bila u autu, a koja su pronašli u blizini fabrike „b.“, a u krugu „k.“.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
372,"sud je prihvatio iskaze prednjih svjedoka, ali na osnovu istih nije mogao zaključiti da su optuženi izvršili krivično djelo bliže opisano pod stavom ii izreke presude, posebno vodeći računa da je svjedok r. m. istakao, da optuženi ne liče na lica koja su te večeri pobjegla sa lica mjesta, te da su ova lica pobjegla trčećim korakom i on nije mogao da ih stigne, a na osnovu iskaza policajaca up pj berane je utvrđeno da su optuženi bili u alkoholisanom stanju, te da optuženi a. š. čak nije mogao ni da hoda, a ne da trči.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
373,"tako je svjedok n. s., u izjavi datoj na glavnom pretresu istakao, da je predmetne večeri, kao radnik up pj b., kada je primio smjenu imao poziv iz fabrike “k.“ i obaviješteni su da je jedno lice zatečeno u ovoj fabrici.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
374,"izašli su na lice mjesta i zatekli optuženog š., kako leži između mašina, bio je u pripitom stanju i pored njega se nalazio bonsek.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
375,predpostavili su da je pao sa mašina koje su bile visoke.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
376,"nakon nekog vremena u fabrici na mašinama našli su drugo lice, optuženog h., koji se gore krio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
377,isti kod sebe nije imao ništa.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
378,"optuženi š. je bio u vidno alkoholisanom stanju, nije mogao da ustane i morali su da ga izvuku sa mjesta, gdje se nalazio, a to je bilo između mašina, jer nije mogao da hoda, zbog alkoholisanosti, a optuženi h. nije bio u alkoholisanom stanju, već se krio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
379,"u objekat „k.“ optuženi su ušli kroz vrata koja su inače otvorena, a morali su predhodno da preskoče ogradu.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
380,"svjedok m. d., radnik up pj b., u izjavi datoj na glavnom pretresu je istakao, da je predmetne večeri sa kolegom po obavješenju iz dežurne službe izašao na lice mjesta u krug fabrike “k.“ i u jednom od objekata se nalazio šef obezbeđenja „k.“ ž. v., gdje su zatekli optuženog š. kako leži pored jedne od mašina i pored njega se nalazio bonsek.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
381,"nijesu znali da li je u nesvjesnom stanju i da li je živ, pa su ga malo promrdali i on je počeo da se osvješćuje.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
382,bio je u alkoholisanom stanju.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
383,"malo su pretraživali sijalicama i na mašinama zatekli optuženog h.. objekat gdje su pronašli optužene je poluotvoren, nedostaju prozori i neka vrata.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
384,"šef obezbeđenja v. im nije pokazao da su neka vrata nasilno obijena, da bi se ušlo u objekat.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
385,"nakon toga su otišli do fabrike b., tamo su pretraživali, ali zbog velikog prostora nijesu mogli nikog naći.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
386,od strane stražara m. nije im pokazano gdje je konkretno izvršeno obijanje.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
387,"svjedok ž. v., u svojoj izjavi datoj tokom postupka je istakao je predmetnog dana nakon što su izvršili obilazak f. k., u pomoćnoj zgradi u blizini magacina, gdje se nalaze stare mašine bivše fabrike p., on i stražar čuli neku lupnjavu, ušli su u objekat i na jednoj strani mašine zatekli optuženog a. š., koga nije poznavao.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
388,"u istoj prostoriji su čuli lupnjavu i zaključili da se nalazi još neko lice i pozvali su policiju, koja je ubrzo došla i pronašli su optuženog b. h.. pored optuženog a. š. pronašli su bonsek za rezanje metala.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
389,"smatra da on bio u pijanom stanju, jer je bio gotovo nesvjestan, kada su ga pronašli.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
390,"na pretresu je dodao da objekat u kojem su pronašli optužene je objekat bez vrata, gdje se nalaze stare mašine.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
391,"obzirom da je ova lica zatekao u njihovom objektu, ne zna da li su to ista lica zbog kojih je policija izašla kod fabrike b. radi vršenja uviđaja.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
392,"štete za fabriku k. nije bilo, obzirom da ova lica nijesu ništa odnijela.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
393,"sud je prihvatio iskaze prednjih svjedoka, na osnovu kojih je utvrđeno da su u jednom od objekata fabrike “k.“, zatečeni optuženi a. š. kako leži pored jedne od mašina, koji je bio u vidno alkoholisanom stanju i nije mogao da hoda, a pored njega se nalazio bonsek, a na mašinama optuženi b. h.. na osnovu prednjeg, sud nije mogao da zaključi da su ova lica predhodno bila u fabrici „b.“, odakle su pobjegli trčećim korakom, kako je to opisao svjedok r. m.. svjedok v. b. , radnik up pj b., u izjavi datoj tokom postupka je istakao, da predmetnog dana, postupajući po naredbi dežurnog starješine, nakon obilaska kruga fabrike „b.“, a zatekli su radnika obezbeđenja r. m., koji je u rukama držao sjekiru.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
394,"u krugu fabrike „k.“, u prisustvu policajaca m. d. i n. s., zatekli su dva lica romske nacionalnosti, koja su lišena slobode, a tu je bio i prisutan radnik obezbeđenja k. ž. v.. na pretresu je dodao da je kod ova dva lica pronađen bonsek i optuženi b. h. je bio u vidno alkoholisanom stanju, a za optuženog š. nije primijetio.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
395,"u krugu fabrike b., radnik obezbeđenja im je pokazao vrata i kazao da se tu nalazio katanac koga sada nema.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
396,"ta vrata su velika, visoka preko 3 metra otprilike i ista nijesu mogla da se otvore, a iz kojeg razloga, da li su bila zaključana na neki drugi način, nije mu poznato.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
397,"tom prilikom im je radnik m., pokazao prozore, za koje je kazao da sumnja da je tuda neko pokušao da uđe u objekat.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
398,"svjedok m. š., takođe radnik up pj b., u izjavi datoj tokom postupka je istakao da je predmetnog dana sa kolegom v. b., postupajući po prijavi da se u krugu fabrike c. papira b. dešava krađa, pošao na lice mjesta, obišli krug fabrike i nijesu zatekli izvršioce djela.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
399,"nakon toga su pošli u krug fabrike k., gdje su zatekli šefa obezbeđenja ž. v. i dvojicu kolega iz saobraćajne policije, kao i dva lica romske nacionalnosti, za koje su utvrdili da se radi o a. š. i b. h., a po njegovom zaključku, oba ova lica su se nalazila u pijanom stanju.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
400,pored ovih lica su pronašli bonsek za rezanje metala.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
401,istakao je da ne zna nikakve pojedinosti u vezi pokušaja krađe u krugu fabrike „b.“.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
402,"sud je prihvatio iskaze prednjih svjedoka, na osnovu kojih je utvrđeno da su optuženi nađeni u objektu „k.“ u alkoholisanom stanju, te da osnovu toga sud nije mogao zaključiti da su to lica koja su predhodno pokušala da obiju pomoćni objekat fabrike „b.“.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
403,"iz potvrde o privremeno oduzetim predmetima up pj b. br … od 07.12.2010. godine utvrđeno je da je od optuženog a. š. oduzet metalni bonsek sa plavom drškom dužine 0,40 cm.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
404,iz fotodokumentaciju up pj b. br … od 07.12.2010.godine utvrđeno je sa objektu fabrike b. skinuta metalna rešetka i napravljen otvor.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
405,"sud je prihvatio prednje dokaze, koji su sačinjeni od strane ovlašćenih lica i snadbjeveni pečatom i podpisom.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
406,"na osnovu ovako utvrđenog činjeničnog stanja, sud nije mogao izvesti zaključak, da je dokazano da su optuženi a. š. i b. h., izvršili krivično djela teška krađu u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika, u vezi sa čl 20 kz, na štetu oštećene fabrike b., koje im je optužnicom stavljeno na teret.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
407,"naime, odt berane je u završnoj riječi odustao od krivičnog gonjenja protiv optuženih, ali je ovlašćeni predstavnik oštećene fabrike „n.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
408,"b.“ m. b., u završnoj riječi preuzeo krivično gonjenje.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
409,"tako je na osnovu iskaza svjedoka r. m., utvrđeno da je čuo kucanje u fabrici „b.“ i da neko pokušava da odvali metalne djelove ograde, nejasno je vidio situete dva lica.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
410,"ova lica su iz kruga njegove fabrike pobjegli u pravcu fabrike „k.“ trčećim korakom, trčao je sa njima, ali nije mogao da ih stigne.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
411,na pretresu je istakao da optuženi ne liče na ta lica.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
412,"takođe je na osnovu iskaza svjedoka n. a. utvrđeno, da je dobio informaciju da se neko od nepoznatih lica kretalo u krugu fabrike, obišli su teren i došli do mjesta gdje su videli da je prozor, koji je bio zaštićen metalnom rešetkom provaljen, na način što je metalna rešetka sklonjena sa istog.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
413,nije vidio nikog da se kreće u krugu fabrike i nije mu poznato da li je išta nestalo iz objekta.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
414,ni ovlašćeni predstavnik oštećene f. p. „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
415,"b.“, pravnog sledbenika fabrike „b.“, vlasnik r. g., nije mogao da se izjasni u pogledu neposrednih činjenica u vezi krivičnog djela koje se stavljaju na teret optuženima, niti da li je predmetne večeri nešto otuđeno iz fabrike i u kojim količinama.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
416,"činjenica je da su optuženi iste večeri zatečeni u objektu „k.“, koji se nalazi u neposrednoj blizini fabrike „b.“.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
