,sentence,filename
62,ni on ni optuženi b. h. nijesu rezali nikakav katanac i on je spavao kada je došla policija.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
63,ništa nijesu uzeli iz fabrike.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
64,kad je došla policija mislio je da je kući,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
65,a te večeri nije primijetio radnika obezbeđenja.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
66,na pretresu je dodao da nijesu imali bonsek i da nijesu rezali katanac,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
67,niti su razbijali vrata.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
68,ne zna tačno gdje je nađen bonsek.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
69,njima je rečeno da li je to njihov bonsek,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
70,a oni su kazali da nije.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
71,optuženi b. h. u svojoj odbrani,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
72,datoj tokom postupka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
73,negirao je izvršenje krivičnog djela i krivicu.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
74,istakao je da je predmetnog dana šetao sa optuženim a. š. i ušli su u krug fabrike „b.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
75,kada je stražar pozvao policiju.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
76,iz fabrike nijesu ništa oduzeli,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
77,niti pravili bilo kakav otvor na prozoru,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
78,niti su bonsekom rezali katanac.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
79,odmah nakon što su ušli u krug fabrike,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
80,stražar ih je primijetio.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
81,na pretresu je dodao da su toga dana bili pijani,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
82,a u upravi policije nijesu alkotestirani.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
83,b. koji su im oduzeli nije bio njihov i isti nijesu koristili.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
84,u krug fabrike su došli,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
85,jer su bili pijani i čim su tamo ušli,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
86,stražar je zvao policiju.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
87,nije mu poznato ko je polomio vrata pomoćnog objekta fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
88,niti ko je rezao katanac na pomoćnim objektima fabrike „b.“.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
89,u završnoj riječi je istakao da nije i kriv i da nije izvršio krivično djelo za koje ga tereti ponomoćnik oštećene fabrike papira „n.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
90,sud je prihvatio odbrane optuženih,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
91,obzirom da izvedenim dokazima nije utvrđeno da su dva lica koja je svjedok r. m. primijetio u objektu fabrike „b.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
92,isti je čak naveo da optuženi ne liče na ta lica,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
93,koja su iz fabrike pobjegla trčećim korakom,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
94,a na osnovu iskaza svjedoka n. s.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
95,v. b. i m. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
96,utvrđeno je da su optuženi bili u pijanom stanju i da optuženi a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
97,čak nije mogao ni da hoda.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
98,kako nije dokazano da su optuženi a. š. i b. h.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
99,"zajedno obili pomoćni objekat fabrike ""b.“",data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
100,u namjeri pribavljanja protiv pravne imovinske koristi,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
101,to ih je oslobodio od optužbe.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
102,pravnog sledbenika fabrike „b.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
103,vlasnik r. g.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
104,u svojoj izjavi datoj tokom postupka je istakao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
105,da mu nijesu poznate neposredne činjenice u vezi krivičnog djela,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
106,koje se stavljaju na treret optuženima,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
107,jer iste ne poznaje i nije bio prisutan predmetnog dana,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
108,a sjutradan je saznao da je pokušana krađa.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
109,prije izvjesnog vremena iz kruga fabrike su nestale izvjesne količine kablova i bakarnih šina,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
110,a on nema saznanja ko je izvršilac te krađe,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
111,te da li se radi o optuženima.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
112,nije mogao da se izjasni da li je predmetne večeri nešto otuđeno iz fabrike i u kojim količinama.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
113,svjedok r. m.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
114,u svojoj izjavi datoj tokom postupka je istakao da je radnik obezbjeđenja opštine berane,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
115,koji radi na obezbjeđenju fabrike,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
116,čija je polovina pripala opštini,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
117,a druga polovina je „b.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
118,vlasništvo r. g. i da je predmetne večeri prilikom obilaska pogona,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
119,čuo sa udaljenosti od 50 metara,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
120,da neko kucanjem pokušava da odvali metalne djelove ograde od pogona papira.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
121,sa udaljenosti od 10 metara pozvao je policiju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
122,koji su nakon 20 minuta došli.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
123,nejasno je vidio siluete dva lica,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
124,a nakon toga još jednog lica.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
125,nije prepoznao lica koja su pokušalavala da uđu u pogon,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
126,a po odjeći i po pokretima,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
127,zaključio je da se radi o licima romske nacionalnosti.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
128,optužene š. i h. ne poznaje i nikada ih nije vidio i ne može sa sigurnošću da tvrdi da su oni te večeri pokušali da vrše obijanje.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
129,vidio je da su na nekom otvoru gdje se nalaze metalne šipke pokušali ulazak u fabriku,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
130,gdje postoje mnoge vrijedne stvari.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
131,na pretresu je dodao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
132,da nakon što su ova dva lica iz kruga njegove fabrike pobjegli u pravcu fabrike „k.“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
133,pošao je za njima,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
134,ali nije mogao da ih stigne i nije mu poznato,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
135,da li su bili u alkoholisanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
136,a kako su bježali,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
137,misli da nijesu.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
138,obzirom da je na pretresu vidio optužene nije mogao da kaže da su to ta lica,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
139,jedno lice je bilo visoko i mršavo,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
140,dok je optuženi h. nešto krupniji od tog lica,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
141,takođe ni optuženi š. ne liči na drugo lice.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
142,čuo je kako su počinioci lupali štemajzima i lomili gvožđe,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
143,a dok su bježali sa lica mjesta u rukama nijesu imali ništa.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
144,svjedok n. a.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
145,u svojoj izjavi datoj tokom postupka je istakao da radi kao radnik obezbeđenja u fabrici „n.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
146,a predmetnog dana je dobio informaciju od kolega koji su angažovani kao čuvari dijela fabrike koja pripada opštini,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
147,da se neko od nepoznatih lica kreće u krugu fabrike,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
148,a obzirom da je bio mrak,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
149,pozvao je svoje kolege da sa njima vidi o čemu se radi.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
150,obišli su teren i došli na lice mjesta,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
151,gdje su videli da je prozor koji je bio zaštićen metalnom rešetkom provaljen,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
152,na način što je metalna rešetka sklonjena sa istog.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
153,nije vidio nikog da se kreće u krugu fabrike.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
154,nije mu poznato da li je išta nestalo iz objekta.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
155,sud je prihvatio iskaze prednjih svjedoka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
156,ali na osnovu istih nije mogao zaključiti da su optuženi izvršili krivično djelo bliže opisano pod stavom ii izreke presude,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
157,posebno vodeći računa da je svjedok r. m. istakao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
158,da optuženi ne liče na lica koja su te večeri pobjegla sa lica mjesta,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
159,te da su ova lica pobjegla trčećim korakom i on nije mogao da ih stigne,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
160,a na osnovu iskaza policajaca up pj berane je utvrđeno da su optuženi bili u alkoholisanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
161,te da optuženi a. š. čak nije mogao ni da hoda,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
162,a ne da trči.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
163,tako je svjedok n. s.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
164,u izjavi datoj na glavnom pretresu istakao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
165,da je predmetne večeri,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
166,kao radnik up pj b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
167,kada je primio smjenu imao poziv iz fabrike “k.“ i obaviješteni su da je jedno lice zatečeno u ovoj fabrici.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
168,izašli su na lice mjesta i zatekli optuženog š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
169,kako leži između mašina,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
170,bio je u pripitom stanju i pored njega se nalazio bonsek.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
171,nakon nekog vremena u fabrici na mašinama našli su drugo lice,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
172,koji se gore krio.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
173,isti kod sebe nije imao ništa.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
174,optuženi š. je bio u vidno alkoholisanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
175,nije mogao da ustane i morali su da ga izvuku sa mjesta,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
176,gdje se nalazio,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
177,a to je bilo između mašina,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
178,jer nije mogao da hoda,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
179,a optuženi h. nije bio u alkoholisanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
180,već se krio.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
181,u objekat „k.“ optuženi su ušli kroz vrata koja su inače otvorena,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
182,a morali su predhodno da preskoče ogradu.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
183,svjedok m. d.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
184,radnik up pj b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
185,u izjavi datoj na glavnom pretresu je istakao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
186,da je predmetne večeri sa kolegom po obavješenju iz dežurne službe izašao na lice mjesta u krug fabrike “k.“ i u jednom od objekata se nalazio šef obezbeđenja „k.“ ž. v.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
187,gdje su zatekli optuženog š. kako leži pored jedne od mašina i pored njega se nalazio bonsek.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
188,bio je u alkoholisanom stanju.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
189,malo su pretraživali sijalicama i na mašinama zatekli optuženog h.. objekat gdje su pronašli optužene je poluotvoren,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
190,nedostaju prozori i neka vrata.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
191,šef obezbeđenja v. im nije pokazao da su neka vrata nasilno obijena,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
192,da bi se ušlo u objekat.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
193,svjedok ž. v.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
194,u svojoj izjavi datoj tokom postupka je istakao je predmetnog dana nakon što su izvršili obilazak f. k.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
195,u pomoćnoj zgradi u blizini magacina,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
196,gdje se nalaze stare mašine bivše fabrike p.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
197,on i stražar čuli neku lupnjavu,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
198,ušli su u objekat i na jednoj strani mašine zatekli optuženog a. š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
199,koga nije poznavao.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
200,u istoj prostoriji su čuli lupnjavu i zaključili da se nalazi još neko lice i pozvali su policiju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
201,koja je ubrzo došla i pronašli su optuženog b. h.. pored optuženog a. š. pronašli su bonsek za rezanje metala.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
202,smatra da on bio u pijanom stanju,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
203,jer je bio gotovo nesvjestan,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
204,kada su ga pronašli.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
205,na pretresu je dodao da objekat u kojem su pronašli optužene je objekat bez vrata,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
206,gdje se nalaze stare mašine.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
207,obzirom da je ova lica zatekao u njihovom objektu,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
208,ne zna da li su to ista lica zbog kojih je policija izašla kod fabrike b. radi vršenja uviđaja.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
209,štete za fabriku k. nije bilo,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
